id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
708331,"Memória RAM Kingston Fury Beast, 32GB, 5600MT/s, DDR5, CL36, DIMM, Preto, EXPO - KF556C36BBE-32",3528.22,3528.22,2998.99,15,5,3,True,Kingston,Hardware/Memória RAM/DDR 5/5600MHz,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/708331/memoria-ram-kingston-fury-beast-32gb-5600mt-s-ddr5-cl36-dimm-preto-expo-kf556c36bbe-32
466800,"Memória RAM Gamer Rise Mode Value, 8GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-8G1600VL",0.0,199.99,169.99,15,5,86,True,Rise Mode,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/466800/memoria-ram-gamer-rise-mode-value-8gb-1600mhz-ddr3l-cl11-preto-rm-d3-8g1600vl
264719,"Memória RAM Kingston Fury Beast, 32GB (2x16GB), 5200MHz, DDR5, CL40, para Intel XMP, Preto - KF552C40BBK2-32",0.0,3154.11,2680.99,15,5,14,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/264719/memoria-ram-kingston-fury-beast-32gb-2x16gb-5200mhz-ddr5-cl40-para-intel-xmp-preto-kf552c40bbk2-32
466802,"Memória RAM para Notebook Rise Mode Value Series, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600NL",129.4,129.4,109.99,15,5,39,True,Rise Mode,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/466802/memoria-ram-para-notebook-rise-mode-value-series-4gb-1600mhz-ddr3-cl11-rm-d3-4g1600nl
474946,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35G",1176.46,1176.46,999.99,15,5,417,True,XPG,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/474946/memoria-ram-xpg-spectrix-d35g-rgb-16gb-3200mhz-ddr4-cl16-preto-ax4u320016g16a-sbkd35g
474939,"Memória RAM XPG Gammix D35, 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SBKD35",823.52,823.52,699.99,15,5,347,True,XPG,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/474939/memoria-ram-xpg-gammix-d35-8gb-3200mhz-ddr4-cl16-preto-ax4u32008g16a-sbkd35
988586,"Memória RAM Corsair Vengeance, 16GB (2x8GB), 5200MHz, DDR5, CL40, Intel XMP, AMD EXPO, Cinza - CMK16GX5M2B5200Z40",3333.32,3333.32,2999.99,10,0,0,True,Corsair,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/988586/memoria-ram-corsair-vengeance-16gb-2x8gb-5200mhz-ddr5-cl40-intel-xmp-amd-expo-cinza-cmk16gx5m2b5200z40
427595,"Memória RAM para Notebook Kingston Fury Impact, 16GB, 5600MHz, DDR5, CL40, Preto - KF556S40IB-16",0.0,1722.34,1463.99,15,5,28,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/427595/memoria-ram-para-notebook-kingston-fury-impact-16gb-5600mhz-ddr5-cl40-preto-kf556s40ib-16
536979,"Memoria RAM Para Notebook Rise Mode 16GB, 5200MHZ DDR5, Zeus Series, CL42 - RM-D5-16G-5200ZEN",0.0,1735.28,1474.99,15,5,5,True,Rise Mode,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/536979/memoria-ram-para-notebook-rise-mode-16gb-5200mhz-ddr5-zeus-series-cl42-rm-d5-16g-5200zen
677474,"Memória RAM XPG Lancer Blade, 16GB(2x8GB), RGB, DDR5, 6000MHz, Dual Tray, CL48, Preto - AX5U6000C4816G-DTLABRBK",0.0,4352.93,3699.99,15,0,0,True,XPG,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/677474/memoria-ram-xpg-lancer-blade-16gb-2x8gb-rgb-ddr5-6000mhz-dual-tray-cl48-preto-ax5u6000c4816g-dtlabrbk
