data_coleta,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-04-16,465134,"Memória RAM Keepdata 16GB DDR4, 2666mhz, Para Notebook - Kd26s19/16g",0.0,1200.0,984.0,18,0,0,True,KEEPDATA,Hardware/Memória RAM/DDR 4/2400MHz,Sem Garantia,True,https://www.kabum.com.br/produto/465134/memoria-ram-keepdata-16gb-ddr4-2666mhz-para-notebook-kd26s19-16g
2026-04-16,954056,Memória Ddr5 32gb 6000mhz Corsair Vengeance 2x16gb - Cmk32gx5m2b6000c40,0.0,4919.99,4919.99,0,0,0,True,Corsair,Hardware/Memória RAM/DDR 5/6000MHz,Sem Garantia,False,https://www.kabum.com.br/produto/954056/memoria-ddr5-32gb-6000mhz-corsair-vengeance-2x16gb-cmk32gx5m2b6000c40
2026-04-16,533050,"Memória Dale7, 8GB, 2400Mhz, DDR4, Notebook, 1.2v",0.0,430.89,430.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/533050/memoria-dale7-8gb-2400mhz-ddr4-notebook-1-2v
2026-04-16,532663,"Memória Dale7,8GB, 2133Mhz, DDR4, Desktop, 1.2 V",0.0,430.89,430.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/532663/memoria-dale7-8gb-2133mhz-ddr4-desktop-1-2-v
2026-04-16,479360,"Memória Sodimm, 16GB, 4800MHz, DDR5, Para Notebook Dell Amd Ryzen - G15-a0506 - G15-a0706",0.0,1800.0,1800.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/479360/memoria-sodimm-16gb-4800mhz-ddr5-para-notebook-dell-amd-ryzen-g15-a0506-g15-a0706
2026-04-16,764902,Memória Ram 32gb Ddr4 dell Poweredge T430 T440 T630 T640,0.0,1399.0,1399.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/764902/memoria-ram-32gb-ddr4-dell-poweredge-t430-t440-t630-t640
2026-04-16,398860,"Memória Ram Para Notebook Kingston Valueram, 16GB, 2666Mhz, DDR4, Cl19 - Kvr26s19s8/16",0.0,1411.25,1199.56,15,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/398860/memoria-ram-para-notebook-kingston-valueram-16gb-2666mhz-ddr4-cl19-kvr26s19s8-16
2026-04-16,533047,"Memória Dale7, 4GB, 1600 Mhz, DDR3L, Notebook, 1.35v",0.0,104.89,104.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/533047/memoria-dale7-4gb-1600-mhz-ddr3l-notebook-1-35v
2026-04-16,878689,Memória Ram 16gb Ddr4 Ecc Dell Poweredge T430 - T440 - T630,0.0,859.0,859.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2133MHz,Sem Garantia,True,https://www.kabum.com.br/produto/878689/memoria-ram-16gb-ddr4-ecc-dell-poweredge-t430-t440-t630
2026-04-16,479373,Memória SODIMM 4GB DDR4 Compatível com Notebook Dell - OEM,0.0,303.99,303.99,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/479373/memoria-sodimm-4gb-ddr4-compativel-com-notebook-dell-oem
2026-04-16,995133,Memoria Ram Ddr4 16gb 2666mhz Cl19 Psd416g26662s Patriot,0.0,899.99,899.99,0,0,0,True,Patriot,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/995133/memoria-ram-ddr4-16gb-2666mhz-cl19-psd416g26662s-patriot
2026-04-16,944405,Memória Ram Kingston Ddr4 16gb 3200mhz Sodimm - Notebook,0.0,1059.9,1006.91,5,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,True,https://www.kabum.com.br/produto/944405/memoria-ram-kingston-ddr4-16gb-3200mhz-sodimm-notebook
2026-04-16,533025,"Memória Dale7, 16GB, 2400Mhz, DDR4, Notebook, 1.2v",0.0,841.89,841.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/533025/memoria-dale7-16gb-2400mhz-ddr4-notebook-1-2v
2026-04-16,575905,Memoria Notebook 8gb Ddr5 4800mhz Adata Sodimm - Ad5s48008g-s,0.0,1099.9,989.91,10,5,2,True,Adata,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/575905/memoria-notebook-8gb-ddr5-4800mhz-adata-sodimm-ad5s48008g-s
